num_wavefunction, num_electrons, time, size
6301, 9, 108106, 6390
6401, 9, 108281, 7202
6501, 9, 107291, 7294
6601, 9, 108161, 6682
6701, 9, 108776, 7472
6801, 9, 107070, 6872
6901, 9, 106757, 7748
7001, 9, 109269, 7069
7101, 9, 106835, 7976
7201, 9, 107067, 7281
7301, 9, 108273, 7400
7401, 9, 107841, 8222
7501, 9, 107729, 7604
7601, 9, 107259, 7711
7701, 9, 108301, 7817
7801, 9, 109849, 7907
7901, 9, 130326, 8003
8001, 9, 112500, 8921
8101, 9, 130566, 9103
8201, 9, 133193, 9125
8301, 9, 136580, 8420
8401, 9, 132393, 8505
8501, 9, 134943, 8614
8601, 9, 134103, 9621
8701, 9, 135780, 9650
8801, 9, 134129, 9834
8901, 9, 133096, 9021
9001, 9, 134173, 10020
9101, 9, 135892, 9208
9201, 9, 133369, 9317
9301, 9, 133958, 10398
9401, 9, 132414, 9529
9501, 9, 135167, 10649
9601, 9, 134780, 10730
9701, 9, 136120, 9815
9801, 9, 137869, 9941
9901, 9, 154801, 10018
1, 10, 10149, 1
101, 10, 2661, 115
201, 10, 25729, 204
301, 10, 5569, 343
401, 10, 23453, 402
501, 10, 28212, 511
601, 10, 28006, 613
701, 10, 27717, 797
801, 10, 28561, 922
901, 10, 27728, 1034
1001, 10, 28364, 1015
1101, 10, 26378, 1127
1201, 10, 28387, 1211
1301, 10, 27568, 1321
1401, 10, 29177, 1422
1501, 10, 27431, 1517
1601, 10, 28123, 1812
1701, 10, 26031, 1721
1801, 10, 27921, 1836
1901, 10, 28010, 1937
2001, 10, 28506, 2033
2101, 10, 52719, 2374
2201, 10, 31758, 2231
2301, 10, 51502, 2327
2401, 10, 55825, 2439
2501, 10, 53613, 2544
2601, 10, 54698, 2642
2701, 10, 53778, 3001
2801, 10, 54805, 2845
2901, 10, 54699, 2944
3001, 10, 54501, 3050
3101, 10, 54998, 3146
3201, 10, 53966, 3618
3301, 10, 54121, 3359
3401, 10, 52897, 3446
3501, 10, 55309, 3979
3601, 10, 52721, 3648
3701, 10, 55585, 3753
3801, 10, 54533, 3862
3901, 10, 55887, 3972
4001, 10, 79168, 4049
4101, 10, 80992, 4165
4201, 10, 81619, 4275
4301, 10, 79694, 4366
4401, 10, 82770, 4474
4501, 10, 80989, 4559
4601, 10, 81633, 5158
4701, 10, 80685, 4759
4801, 10, 79723, 4859
4901, 10, 81934, 4966
5001, 10, 81565, 5627
5101, 10, 79665, 5761
5201, 10, 80982, 5264
5301, 10, 81275, 5942
5401, 10, 80512, 6104
5501, 10, 81536, 5590
5601, 10, 79887, 6282
5701, 10, 80579, 5774
5801, 10, 83003, 6510
5901, 10, 104387, 6526
6001, 10, 84810, 6098
6101, 10, 104246, 6184
6201, 10, 108081, 7015
6301, 10, 107604, 7134
6401, 10, 107947, 6521
6501, 10, 107124, 7286
6601, 10, 106689, 6718
6701, 10, 108982, 6795
6801, 10, 106274, 6904
6901, 10, 107585, 7005
7001, 10, 107387, 7914
7101, 10, 131260, 7215
7201, 10, 117130, 8151
7301, 10, 103252, 7412
7401, 10, 217225, 8344
7501, 10, 106072, 7590
7601, 10, 107069, 8611
7701, 10, 109359, 7799
7801, 10, 132297, 8748
7901, 10, 134082, 8029
8001, 10, 133324, 8991
8101, 10, 134076, 8231
8201, 10, 134477, 8339
8301, 10, 134728, 8440
8401, 10, 134312, 9451
8501, 10, 133783, 9599
8601, 10, 134003, 9659
8701, 10, 133716, 9849
8801, 10, 134587, 9917
8901, 10, 133102, 10041
9001, 10, 135371, 10094
9101, 10, 134081, 10216
9201, 10, 132870, 10369
9301, 10, 133960, 10452
9401, 10, 132827, 9558
9501, 10, 133729, 10672
9601, 10, 135136, 10841
9701, 10, 136084, 9847
9801, 10, 157522, 11018
9901, 10, 139160, 11111
